title,home,keywords,publisher,country,classification,subjects
International Journal of Engineering Pedagogy (iJEP),http://www.i-jep.org,engineering education,International Association of Online Engineering (IAOE),Germany,LC8-6691|LB5-3640,Education: Special aspects of education | Education: Theory and practice of education
International Journal of English Language and Translation Studies,http://www.eltsjournal.org,"linguistics, literature, discourse analysis, translation studies, applied linguistis",Lasting Impressions Press,Libya,P,Language and Literature
International Journal of English Studies (IJES),http://revistas.um.es/ijes,"language learning, language teaching, literature, cultural studies, linguistics, english studies",Universidad de Murcia,Spain,PE1-3729|PR1-9680,Language and Literature: English language | Language and Literature: English literature
International Journal of Enteric Pathogens,http://enterpathog.com/?page=home,"food borne diseases, probiotics and prebiotics, host susceptibility, digestive system commensals in health",Alborz University of Medical Sciences,"Iran, Islamic Republic of",RC799-869,Medicine: Internal medicine: Specialties of internal medicine: Diseases of the digestive system. Gastroenterology
International Journal of Entrepreneurial Knowledge,https://ijek.org/,"enterprise economics, business administration, business finance, international trade and finance, knowledge entrepreneurship, entrepreneurship",Center for International Scientific Research of VŠO and VŠPP,Czechia,HF5001-6182,Social Sciences: Commerce: Business
International Journal of Environment,http://www.nepjol.info/index.php/IJE/index,"agriculture, environment",Progressive Sustainable Developers Nepal,Nepal,S1-972|GE1-350,Agriculture: Agriculture (General) | Geography. Anthropology. Recreation: Environmental sciences
International Journal of Environment and Geoinformatics,http://dergipark.gov.tr/ijegeo,"geoinformatics, environment, information systems, gis, hydrology, geology",IJEGEO,Turkey,GE1-350,Geography. Anthropology. Recreation: Environmental sciences
International Journal of Environmental Health Engineering,http://www.ijehe.org/,"environmental sciences, human health, pollutants, environmental toxicology",Wolters Kluwer Medknow Publications,India,TD1-1066|TA170-171|GE1-350,Technology: Environmental technology. Sanitary engineering | Technology: Engineering (General). Civil engineering (General): Environmental engineering | Geography. Anthropology. Recreation: Environmental sciences
International Journal of Environmental Impacts,https://www.witpress.com/journals/ei,"environmental policies and planning, ecosystems modelling, waste management, environmental risk management",WIT Press,United Kingdom,GE1-350,Geography. Anthropology. Recreation: Environmental sciences
International Journal of Environmental Research and Public Health,http://www.mdpi.com/journal/ijerph,health sciences,MDPI AG,Switzerland,R,Medicine
"International Journal of Environmental, Sustainability, and Social Science",https://journalkeberlanjutan.com/index.php/IJESSS,"environmental sciences, sustainability, social science, behavioral, financial accounting",Indonesia Strategic Sustainability,Indonesia,Q|H,Social Sciences
International Journal of Epidemiologic Research,http://ijer.skums.ac.ir/,"epidemology, pharmacology, virology, environmental health, health sciences, nursing",Shahrekord University of Medical Sciences,"Iran, Islamic Republic of",RM1-950|RC109-216,Medicine: Therapeutics. Pharmacology | Medicine: Internal medicine: Infectious and parasitic diseases
International Journal of Euro-Mediterranean Studies,http://www.ijems.emuni.si,"euro-mediterranean region, politics, sociology, economics, human geography, business and management",Euro-Mediterranean University,Slovenia,H1-99,Social Sciences: Social sciences (General)
International Journal of Evidence Based Coaching and Mentoring,https://doi.org/10.24384/IJEBCM,"business, coaching, mentoring, management",Oxford Brookes University,United Kingdom,LC8-6691|HF5548.7-5548.85,Education: Special aspects of education | Social Sciences: Commerce: Business: Industrial psychology
International Journal of Exercise Science,http://www.intjexersci.com,"exercise science, physiological aspects, health science",Berkeley Electronic Press,United States,GV557-1198.995,Geography. Anthropology. Recreation: Recreation. Leisure: Sports
International Journal of Experiential Learning & Case Studies,http://journals.iobmresearch.com/index.php/JELCS/index,"case studies, business management, marketing",Institute of Business Management,Pakistan,L,Education
International Journal of Extreme Manufacturing,https://iopscience.iop.org/journal/2631-7990,"extreme manufacturing, micro/nano metrology, ultrahigh precision manufacturing, complex systems, materials science, atomic level control",IOP Publishing,United Kingdom,TA401-492|T55.4-60.8|QC1-999,Technology: Electrical engineering. Electronics. Nuclear engineering: Materials of engineering and construction. Mechanics of materials | Technology: Technology (General): Industrial engineering. Management engineering | Science: Physics
International Journal of Fertility and Sterility,http://www.ijfs.ir/,"fertility, sterility, ethics, art, embryology, women's health","Royan Institute (ACECR), Tehran","Iran, Islamic Republic of",R5-920,Medicine: Medicine (General)
International Journal of Financial Studies,http://www.mdpi.com/journal/ijfs,financial markets,MDPI AG,Switzerland,HG1-9999,Social Sciences: Finance
International Journal of Food Contamination,https://foodcontaminationjournal.biomedcentral.com/,"food contamination, animal feed contamination",BMC,United Kingdom,TP368-456,Technology: Chemical technology: Food processing and manufacture
International Journal of Food Design,https://www.intellectbooks.com/international-journal-of-food-design,"food design, food science, culinary arts, hospitality, design theory, design education",Intellect,United Kingdom,N1-9211|TX901-946.5,"Fine Arts: Visual arts | Technology: Home economics: Hospitality industry. Hotels, clubs, restaurants, etc. Food service"
International Journal of Food Properties,http://www.tandfonline.com/LJFP,"food standards, food science, food technology",Taylor & Francis Group,United Kingdom,TX341-641|TP368-456,Technology: Home economics: Nutrition. Foods and food supply | Technology: Chemical technology: Food processing and manufacture
International Journal of Food Science,https://www.hindawi.com/journals/ijfs/,food science,Hindawi Limited,United Kingdom,TX341-641|TP368-456,Technology: Home economics: Nutrition. Foods and food supply | Technology: Chemical technology: Food processing and manufacture
International Journal of Food Studies,http://www.iseki-food-ejournal.com/,"food studies, education, industry, food",ISEKI_Food Association (IFA),Austria,TP368-456,Technology: Chemical technology: Food processing and manufacture
International Journal of Foreign Language Teaching and Research,https://jfl.iaun.iau.ir/,"language teaching, language learning",Islamic Azad University-Najafabad,"Iran, Islamic Republic of",LC8-6691|P,Education: Special aspects of education | Language and Literature
International Journal of Forestry Research,https://www.hindawi.com/journals/ijfr/,"forestry, agroforestry, conservation, biodiversity",Hindawi Limited,United Kingdom,SD1-669.5|QH1-199.5,"Agriculture: Forestry | Science: Natural history (General): General. Including nature conservation, geographical distribution"
International Journal of Fruit Science,https://www.tandfonline.com/toc/wsfr20/current,"fruit, horticulture, plant science, fruit production",Taylor & Francis Group,United Kingdom,SB1-1110,Agriculture: Plant culture
International Journal of Gastrointestinal Intervention,http://www.ijgii.org,"gastroenterology, hepatopancreaticobiliary diseases",Society of Gastrointestinal Intervention,"Korea, Republic of",R|RC31-1245|RC581-951|RC254-282,Medicine: Internal medicine: Specialties of internal medicine | Medicine: Internal medicine: Neoplasms. Tumors. Oncology. Including cancer and carcinogens
International Journal of General Medicine,https://www.dovepress.com/international-journal-of-general-medicine-journal,"internal medicine, pathogenesis, disease processes, treatment protocols, epidemiology",Dove Medical Press,United Kingdom,R5-920,Medicine: Medicine (General)
International Journal of Genomics,https://www.hindawi.com/journals/ijg/,"genome analysis, genomics",Hindawi Limited,United Kingdom,QH426-470,Science: Biology (General): Genetics
International Journal of Geo-Engineering,http://www.springer.com/40703,"geotechnical engineering & applied earth sciences, civil engineering, geoengineering; foundations; hydraulics",SpringerOpen,"Korea, Republic of",TC1-978,Technology: Hydraulic engineering
International Journal of Geoheritage and Parks,http://www.keaipublishing.com/en/journals/international-journal-of-geoheritage-and-parks/,"landscape, park, geography, tourism, ecology, management","KeAi Communications Co., Ltd.",China,GE1-350|G1-922,Geography. Anthropology. Recreation: Environmental sciences | Geography. Anthropology. Recreation: Geography (General)
International Journal of Geophysics,https://www.hindawi.com/journals/ijge/,"geohysics, seismology, geodynamics",Hindawi Limited,United Kingdom,QC801-809,Science: Physics: Geophysics. Cosmic physics
International Journal of Gerontology,http://www.sgecm.org.tw/ijge/overview/,"aged, mortality, geriatrics, neoplasms, sleep, gerontology",Taiwan Society of Geriatric Emergency and Critical Medicine (TSGECM),"Taiwan, Province of China",RC952-954.6,Medicine: Internal medicine: Special situations and conditions: Geriatrics
International Journal of Global Community,https://journal.riksawan.com,"social sciences, human rights, sociology, communication, education, history",Riksawan Institute,Indonesia,H1-99|AZ20-999,Social Sciences: Social sciences (General) | General Works: History of scholarship and learning. The humanities
International Journal of Group Theory,http://ijgt.ui.ac.ir/,"algebra, group theory",University of Isfahan,"Iran, Islamic Republic of",QA1-939,Science: Mathematics
International Journal of Health Geographics,https://ij-healthgeographics.biomedcentral.com/,"public health, geospatial information systems, healthcare delivery",BMC,United Kingdom,R858-859.7,Medicine: Medicine (General): Computer applications to medicine. Medical informatics
International Journal of Health Policy and Management,http://www.ijhpm.com/,"health policy, health management, health economic, politics of health, health policy ethics, epidemiology",Kerman University of Medical Sciences,"Iran, Islamic Republic of",RA1-1270,Medicine: Public aspects of medicine
International Journal of Health Sciences,http://www.ijhs.org.sa,"medical sciences, nursing, medicine, dentistry, clinical",Qassim University,Saudi Arabia,R,Medicine
International Journal of Health Services Research and Policy,https://dergipark.org.tr/en/pub/ijhsrp,"healthcare management, biomedicine, medical sciences",Rojan GÜMÜŞ,Turkey,R5-920|RA1-1270,Medicine: Medicine (General) | Medicine: Public aspects of medicine
"International Journal of Health, Animal Science and Food Safety",http://riviste.unimi.it/index.php/haf/index,"animal science, animal health, animal nutrition, animal production, food safety",Università degli Studi di Milano,Italy,SF1-1100|QH540-549.5|QH426-470|QH705-705.5,Agriculture: Animal culture | Science: Biology (General): Ecology | Science: Biology (General): Genetics | Science: Biology (General): Economic biology
International Journal of Hematologic Oncology,https://www.futuremedicine.com/journal/IJH,"lymphoma, leukaemia, haematologic oncology, myeloma",Future Medicine Ltd,United Kingdom,RC633-647.5|RC254-282,Medicine: Internal medicine: Specialties of internal medicine: Diseases of the blood and blood-forming organs | Medicine: Internal medicine: Neoplasms. Tumors. Oncology. Including cancer and carcinogens
International Journal of Hematology-Oncology and Stem Cell Research,https://ijhoscr.tums.ac.ir/,"stem cell research, hematology, oncology, stem cell transplantion",Tehran University of Medical Sciences,"Iran, Islamic Republic of",RC254-282,Medicine: Internal medicine: Neoplasms. Tumors. Oncology. Including cancer and carcinogens
International Journal of Hepatology,https://www.hindawi.com/journals/ijh/,"hepatology, liver, liver diseases",Hindawi Limited,United Kingdom,RC799-869,Medicine: Internal medicine: Specialties of internal medicine: Diseases of the digestive system. Gastroenterology
International Journal of Horticultural Science,https://ojs.lib.unideb.hu/IJHS/index,"fruit, wine, horticulture, forestry, vegetables, grapes",University of Debrecen,Hungary,SB1-1110|QK900-989,Agriculture: Plant culture | Science: Botany: Plant ecology
International Journal of Horticultural Science and Technology,https://ijhst.ut.ac.ir/,"horticulture, fruit, abiotic stress, plant physiology, horticultural technology",University of Tehran,"Iran, Islamic Republic of",S,Agriculture
International Journal of Human and Health Sciences,http://ijhhsfimaweb.info/index.php/IJHHS/index,"medicine, health sciences",Consortium of Islamic Medical Colleges,Bangladesh,R,Medicine
International Journal of Human Capital in Urban Management,http://ijhcum.net/,"urban management, human capital, social sciences, city",Municipality of Tehran,"Iran, Islamic Republic of",H,Social Sciences
International Journal of Humanity Studies (IJHS),http://e-journal.usd.ac.id/index.php/IJHS,"literature, language, history, cultural studies, humanities, philosophy",Universitas Sanata Dharma,Indonesia,AZ20-999,General Works: History of scholarship and learning. The humanities
International Journal of Hypertension,https://www.hindawi.com/journals/ijhy/,hypertension,Hindawi Limited,United Kingdom,RC666-701,Medicine: Internal medicine: Specialties of internal medicine: Diseases of the circulatory (Cardiovascular) system
International Journal of Hyperthermia,http://www.tandfonline.com/IHYT,"hyperthermia, thermal therapy, heat treatment, thermal response, thermal energy treatment systems",Taylor & Francis Group,United Kingdom,R855-855.5,Medicine: Medicine (General): Medical technology
International Journal of Immunopathology and Pharmacology,http://journals.sagepub.com/home/iji,"immunology, pathology, pharmacology",SAGE Publishing,United Kingdom,RM1-950|RB1-214|RC581-607,Medicine: Therapeutics. Pharmacology | Medicine: Pathology | Medicine: Internal medicine: Specialties of internal medicine: Immunologic diseases. Allergy
International Journal of Implant Dentistry,http://www.journalimplantdent.com,dentistry,SpringerOpen,Germany,R|RK1-715,Medicine: Dentistry
"International Journal of Industrial Electronics, Control and Optimization",https://ieco.usb.ac.ir/,"industrial electronics, intelligent system, mechatronics, industrial control, industrial optimization",University of Sistan and Baluchestan,"Iran, Islamic Republic of",TK7800-8360|HD2321-4730.9,Technology: Electrical engineering. Electronics. Nuclear engineering: Electronics | Social Sciences: Industries. Land use. Labor: Industry
International Journal of Industrial Engineering and Management,http://ijiemjournal.uns.ac.rs/,"industrial engineering, manufacturing engineering, engineering management, management","University of Novi Sad, Faculty of Technical Sciences",Serbia,T55.4-60.8,Technology: Technology (General): Industrial engineering. Management engineering
International Journal of Industrial Engineering and Production Research,http://ijiepr.iust.ac.ir/,"mathematical modeling, simulation, operations research, supply chain management, optimization techniques, engineering techniques",Iran University of Science & Technology,"Iran, Islamic Republic of",T,Technology
International Journal of Industrial Engineering Computations,http://growingscience.com/ijiec/ijiec.html,"optimiation, metaheuristics, supply chain management, operations management, scheduling",Growing Science,Canada,T55.4-60.8|TS155-194,Technology: Technology (General): Industrial engineering. Management engineering | Technology: Manufactures: Production management. Operations management
International Journal of Infectious Diseases,http://www.journals.elsevier.com/international-journal-of-infectious-diseases/,"epidemiology, clinical diagnosis, treatment of infectious diseases, control of infectious diseases",Elsevier,Netherlands,RC109-216,Medicine: Internal medicine: Infectious and parasitic diseases
International Journal of Inflammation,https://www.hindawi.com/journals/iji/,"inflammation, inflammatory diseases, acute-phase reaction",Hindawi Limited,United Kingdom,RB1-214,Medicine: Pathology
"International Journal of Informatics, Information System and Computer Engineering",https://ojs.unikom.ac.id/index.php/injiiscom/index,"software engineering, big data and data mining, internet of thing (iot), sensors and trandusers, robotic, control and automation",Universitas Komputer Indonesia,Indonesia,T58.5-58.64|TK7885-7895,Technology: Technology (General): Industrial engineering. Management engineering: Information technology | Technology: Electrical engineering. Electronics. Nuclear engineering: Electronics: Computer engineering. Computer hardware
International Journal of Information Management Data Insights,https://www.journals.elsevier.com/international-journal-of-information-management-data-insights,"big data analytics, information management, data science, machine learning, decision making, artificial intelligence",Elsevier,United Kingdom,T58.5-58.64,Technology: Technology (General): Industrial engineering. Management engineering: Information technology
International Journal of Information Science and Management,https://ijism.ricest.ac.ir/index.php/ijism,"information management, data processing, information technologies, scientometrics",Regional Information Center for Science and Technology (RICeST),"Iran, Islamic Republic of",ZA3040-5185|HE1-9990,Bibliography. Library science. Information resources: Information resources (General) | Social Sciences: Transportation and communications
International Journal of Information Security Science,http://www.ijiss.org,"cryptology, network security, cyber security, coding theory, information security",Gazi University,Turkey,TK7885-7895|T58.5-58.64,Technology: Electrical engineering. Electronics. Nuclear engineering: Electronics: Computer engineering. Computer hardware | Technology: Technology (General): Industrial engineering. Management engineering: Information technology
International Journal of Information Systems and Project Management,http://www.sciencesphere.org/ijispm/,"information systems, project management, information technology",UMinho Editora,Portugal,HD28-70,Social Sciences: Industries. Land use. Labor: Management. Industrial management
International Journal of Innovation in Mechanical Engineering and Advanced Materials,http://umb-intl-journal.com/,"mechanical engineering, advanced materials","Mercu Buana University, Jakarta",Indonesia,TA401-492|TJ1-1570,Technology: Electrical engineering. Electronics. Nuclear engineering: Materials of engineering and construction. Mechanics of materials | Technology: Mechanical engineering and machinery
International Journal of Innovation Studies,http://www.keaipublishing.com/en/journals/international-journal-of-innovation-studies/,"entrepreneurship & innovation, knowledge management & innovation, management of innovation, managing open innovation, corporate innovation system, economics of innovation","KeAi Communications Co., Ltd.",China,HF5001-6182,Social Sciences: Commerce: Business
International Journal of Innovative Technology and Interdisciplinary Sciences,http://www.ijitis.org,"engineering, science, technology",Tallinn University of Technology,Estonia,T|Q,Technology | Science
International Journal of Integrated Care,http://www.ijic.org/,"integrated care, quality of care",Ubiquity Press,United Kingdom,R5-920,Medicine: Medicine (General)
International Journal of Integrated Health Sciences,http://journal.fk.unpad.ac.id/index.php/ijihs,"health, medicine",Universitas Padjadjaran,Indonesia,R,Medicine
International Journal of Integrative Psychotherapy,http://www.integrative-journal.com/index.php/ijip,"psychotherapy, integrative psychotherapy, psychology, transactional analysis, eclectic psychotherapy, counselling",International Integrative Psychotherapy Association,United States,RC475-489|BF1-990,Medicine: Internal medicine: Neurosciences. Biological psychiatry. Neuropsychiatry: Neurology. Diseases of the nervous system: Psychiatry: Therapeutics. Psychotherapy | Philosophy. Psychology. Religion: Psychology
International Journal of Intelligent Networks,http://www.keaipublishing.com/en/journals/international-journal-of-intelligent-networks/,"wireless communication, intelligent computing, signal processing techniques, smart vehicular communication, computational network analysis, smart sensor technology","KeAi Communications Co., Ltd.",China,QA75.5-76.95,Science: Mathematics: Instruments and machines: Electronic computers. Computer science
International Journal of Interactive Mobile Technologies,https://online-journals.org/index.php/i-jim/index,"mobile, interactive, technology, e-learning, wireless",International Association of Online Engineering (IAOE),Germany,TK5101-6720,Technology: Electrical engineering. Electronics. Nuclear engineering: Telecommunication
International Journal of Interactive Multimedia and Artificial Intelligence,http://www.ijimai.org/journal,"artificial intelligence, interactive multimedia",Universidad Internacional de La Rioja (UNIR),Spain,T,Technology
International Journal of Islamic Business and Economics (IJIBEC),http://e-journal.iainpekalongan.ac.id/index.php/IJIBEC,"islamic economics, business, islamic accounting",Faculty of Islamic Economics and Business of Institut Agama Islam Negeri (IAIN) Pekalongan,Indonesia,HF1-6182|HG1-9999,Social Sciences: Commerce | Social Sciences: Finance
International Journal of Islamic Economics and Finance,http://journal.umy.ac.id/index.php/ijief/index,"islamic economics, islamic banking and finance, islamic social finance, islamic microfinance, islamic macroeconomics, monetary economics",Universitas Muhammadiyah Yogyakarta,Indonesia,HB1-3840,Social Sciences: Economic theory. Demography
International Journal of Islamic Educational Psychology,https://journal.umy.ac.id/index.php/ijiep,"psychology, islamic education, islamic psychology, educational psychology",Universitas Muhammadiyah Yogyakarta,Indonesia,B,Philosophy. Psychology. Religion
International Journal of Islamic Khazanah,https://journal.uinsgd.ac.id/index.php/ijik/index,"islamic studies, philosophy, religion, muslim society, islamic history, islam",UIN Sunan Gunung Djati Bandung,Indonesia,B1-5802|BP1-253|KBP1-4860|BJ1188-1295,"Philosophy. Psychology. Religion: Philosophy (General) | Philosophy. Psychology. Religion: Islam. Bahai Faith. Theosophy, etc.: Islam | Law: Islamic law | Philosophy. Psychology. Religion: Ethics: Religious ethics"
International Journal of Knowledge Content Development and Technology,http://ijkcdt.net/,"information science, content development, web content aggregation, content management, database management",Research Institute for Knowledge Content Development & Technology,"Korea, Republic of",T58.5-58.64|Z,Technology: Technology (General): Industrial engineering. Management engineering: Information technology | Bibliography. Library science. Information resources
International Journal of Korean History,http://ijkh.khistory.org,"korean history, korean studies, east asian history","Korea University, Center for Korean History","Korea, Republic of",D1-2009,History (General) and history of Europe: History (General)
International Journal of Language & Law,https://www.languageandlaw.eu,"law, jurisprudence, linguistics, legal linguistics, language, socio-legal studies",International Language and Law Association,Germany,K|P,Law | Language and Literature
International Journal of Language Teaching and Education,https://online-journal.unja.ac.id/index.php/IJoLTE,"linguistics, language, language teaching",Universitas Jambi,Indonesia,LB5-3640|P101-410,Education: Theory and practice of education | Language and Literature: Philology. Linguistics: Language. Linguistic theory. Comparative grammar
International Journal of Law Reconstruction,http://jurnal.unissula.ac.id/index.php/lawreconstruction/index,law,"Universitas Islam Sultan Agung, Doctoral Program of Law Science Faculty",Indonesia,K,Law
"International Journal of Law, Language & Discourse",https://www.ijlld.com/,"law, linguistics, discourse analysis, legal interpretation, translation",ELE Publishing,Australia,K|P1-1091,Law | Language and Literature: Philology. Linguistics
International Journal of Learning Analytics and Artificial Intelligence for Education,http://www.i-jai.org,"learning analytics, artificial intelligence, education",International Association of Online Engineering (IAOE),Austria,LB5-3640|TK7800-8360,Education: Theory and practice of education | Technology: Electrical engineering. Electronics. Nuclear engineering: Electronics
International Journal of Librarianship (IJoL),http://ojs.calaijol.org/index.php/ijol,"north america, china, international librarianship, information management, information studies",Chinese American Librarians Association,United States,Z,Bibliography. Library science. Information resources
International Journal of Lightweight Materials and Manufacture,http://www.keaipublishing.com/en/journals/international-journal-of-lightweight-materials-and-manufacture/,"manufacturing, materials forming, tool design, machining techniques, lightweight components and structures, lightweight materials","KeAi Communications Co., Ltd.",China,T,Technology
International Journal of Literary Linguistics,http://www.ijll.uni-mainz.de/,"linguistics, literary studies",Johannes Gutenberg-Universität Mainz,Germany,P1-1091|PN1-6790,Language and Literature: Philology. Linguistics | Language and Literature: Literature (General)
International Journal of Low-Carbon Technologies,https://academic.oup.com/ijlct,"low-carbon technologies, built environment, renewable technology, sustainable technology",Oxford University Press,United Kingdom,TJ807-830|QC851-999,Technology: Mechanical engineering and machinery: Renewable energy sources | Science: Physics: Meteorology. Climatology
"International Journal of Management, Entrepreneurship, Social Science and Humanities (IJMESH)",http://journals.researchsynergypress.com/index.php/ijmesh/,"entrepreneurship, management, social sicence, humanities",Research Synergy Foundation,Indonesia,HB1-3840,Social Sciences: Economic theory. Demography
"International Journal of Management, Knowledge and Learning",https://toknowpress.net/submission/index.php/ijmkl/index,"entrepreneurship, innovation, human capital, information systems, management, business",International School for Social and Business Studies,Slovenia,L|HF5001-6182,Education | Social Sciences: Commerce: Business
International Journal of Maritime Technology,http://ijmt.ir/,"maritime, naval architecture, marine engineering, offshore",Iranian Association of Naval Architecture and Marine Engineering,"Iran, Islamic Republic of",VM1-989,Naval Science: Naval architecture. Shipbuilding. Marine engineering
International Journal of Maternal and Child Health and AIDS,https://mchandaids.org/index.php/IJMA,"infant and child health, hiv/aids, global health, health disparities, maternal health, adolescent health","Global Health and Education Projects, Inc.",United States,RA1-1270,Medicine: Public aspects of medicine
International Journal of Mathematical Modelling & Computations,http://ijm2c.iauctb.ac.ir/,"mathematical modelling, computation, operations research, numerical analysis, optimization",Islamic Azad University,"Iran, Islamic Republic of",QA1-939|QA75.5-76.95,Science: Mathematics: Instruments and machines: Electronic computers. Computer science
"International Journal of Mathematical, Engineering and Management Sciences",https://ijmems.in,"mathematics, engineering, computer science, industrial engineering, risk management",Ram Arti Publishers,India,T|QA1-939,Technology | Science: Mathematics
International Journal of Mathematics and Mathematical Sciences,https://www.hindawi.com/journals/ijmms/,"mathematics, statistics, probability",Hindawi Limited,United Kingdom,QA1-939,Science: Mathematics
International Journal of Mathematics for Industry,https://www.worldscientific.com/worldscinet/ijmi,"mathematics, mathematics for industry, applied mathematics",World Scientific Publishing,Singapore,T57-57.97|QA1-939,Technology: Technology (General): Industrial engineering. Management engineering: Applied mathematics. Quantitative methods | Science: Mathematics
International Journal of Mechanical and Materials Engineering,https://ijmme.springeropen.com,"mechanical engineering, materials science, machining",SpringerOpen,United Kingdom,TA401-492|TJ1-1570,Technology: Electrical engineering. Electronics. Nuclear engineering: Materials of engineering and construction. Mechanics of materials | Technology: Mechanical engineering and machinery
International Journal of Mechanical System Dynamics,https://onlinelibrary.wiley.com/journal/27671402,"mechanical systems, system dynamics, systems engineering",Wiley,Australia,TJ1-1570|TA168,Technology: Mechanical engineering and machinery | Technology: Engineering (General). Civil engineering (General): Systems engineering
International Journal of Medical Arts,https://ijma.journals.ekb.eg/,"medicine, basic science","Al-Azhar University, Faculty of Medicine (Damietta)",Egypt,R5-920,Medicine: Medicine (General)
International Journal of Medical Biochemistry,https://internationalbiochemistry.com,"clinical and experimental chemistry, molecular biology, genetics, therapeutic drug monitoring, toxicology",KARE Publishing,Turkey,R5-920|QD415-436,Medicine: Medicine (General) | Science: Chemistry: Organic chemistry: Biochemistry
International Journal of Medical Dentistry,http://www.ijmd.ro,"oral health, oral surgery, dental science, dental surgery, maxillofacial surgery",Academy of Romanian Scientists,Romania,RK1-715,Medicine: Dentistry
International Journal of Medical Device and Adjuvant Treatments,http://www.ijmdat.com/,"basic and clinical research, medical devices, adjuvant treatments, dietary supplements, translation medicine, public health",Verduci Editore,Italy,R858-859.7,Medicine: Medicine (General): Computer applications to medicine. Medical informatics
International Journal of Medical Microbiology,https://www.journals.elsevier.com/international-journal-of-medical-microbiology,"cellular microbiology, molecular epidemiology, genomics, medical microbiology",Elsevier,Germany,QR1-502|RZ201-999,Science: Microbiology | Medicine: Other systems of medicine
International Journal of Medical Sciences,http://www.medsci.org,"medicine, medical sciences",Ivyspring International Publisher,Australia,R,Medicine
International Journal of Medical Students,http://www.ijms.info,"medicine, public health, medical education",International Journal of Medical Students,United States,R5-920|RA1-1270,Medicine: Medicine (General) | Medicine: Public aspects of medicine
International Journal of Medical Toxicology and Forensic Medicine,http://www.toxir.com,"clinical toxicology, forensic medicine, legal medicine, medical toxicology",Shaheed Beheshti University of Medical Sciences,"Iran, Islamic Republic of",R5-920|RA1190-1270,Medicine: Medicine (General) | Medicine: Public aspects of medicine: Toxicology. Poisons
International Journal of Medicine and Medical Research,http://ojs.tdmu.edu.ua/index.php/ijmr/index,"internal medicine, surgery, paeditrics, radiation medicine, oncology",Ukrmedknyha,Ukraine,R,Medicine
International Journal of Men's Social and Community Health,http://www.ijmsch.com,"mens health, social health, community, gender health",The Dougmar Publishing Group,Canada,R|HQ1088-1090.7,Medicine | Social Sciences: The family. Marriage. Woman: Men
International Journal of Mental Health and Capacity Law,https://www.northumbriajournals.co.uk/index.php/IJMHMCL/index,"law, mental health law, mental capacity law",Northumbria University Library,United Kingdom,K,Law
International Journal of Mental Health Systems,https://ijmhs.biomedcentral.com/,"mental illness, global mental health, mental health services",BMC,United Kingdom,RC321-571,Medicine: Internal medicine: Neurosciences. Biological psychiatry. Neuropsychiatry
International Journal of Methods in Psychiatric Research,https://onlinelibrary.wiley.com/journal/15570657,"mental disorders, psychiatric epidemiology, psychiatry, clinical psychology",Wiley,United Kingdom,RC321-571,Medicine: Internal medicine: Neurosciences. Biological psychiatry. Neuropsychiatry
International Journal of Metrology and Quality Engineering,http://www.metrology-journal.org/,"quality tools, process improvement in industry, metrology, testing, measurement, calibration",EDP Sciences,France,T,Technology
International Journal of Micro Air Vehicles,http://journals.sagepub.com/home/mav,"unmanned air vehicles, surveillance, drones, micro aircraft, aerodynamics",SAGE Publishing,United Kingdom,TL1-4050,Technology: Motor vehicles. Aeronautics. Astronautics
International Journal of Microbiology,https://www.hindawi.com/journals/ijmicro/,microbiology,Hindawi Limited,United Kingdom,QR1-502,Science: Microbiology
International Journal of Mining and Geo-Engineering,https://ijmge.ut.ac.ir/,"mining engineering, environment, mineral exploration, hydrogeology, mineral processing, rock mechanics",University of Tehran,"Iran, Islamic Republic of",TN1-997,Technology: Mining engineering. Metallurgy
International Journal of Mining Science and Technology,https://www.journals.elsevier.com/international-journal-of-mining-science-and-technology,"mining engineering, safety technology and engineering, mineral processing, coalfield geology, geotechnical engineering",Elsevier,Netherlands,TN1-997,Technology: Mining engineering. Metallurgy
International Journal of Modern Anthropology,http://www.ata.org.tn/index.html,"ethnography, medical antropology, human evolution, cultural antropology",Tunisian Association of Anthropology,Tunisia,G|CB3-482,Geography. Anthropology. Recreation | Auxiliary sciences of history: History of Civilization
International Journal of Molecular Sciences,http://www.mdpi.com/journal/ijms,molecular science,MDPI AG,Switzerland,QH301-705.5|QD1-999,Science: Biology (General) | Science: Chemistry
International Journal of Motor Control and Learning,http://ijmcl.com,"kinesiology, cognitive sciences, psychology, pedagogy, biomechanic, rehabilitation",Iranian Motor Behavior and Sport Psychology Association (IMBSPA),"Iran, Islamic Republic of",RZ409.7-999,Medicine: Other systems of medicine: Miscellaneous systems and treatments
International Journal of Multiphysics,https://www.multiphysics.org/journal,"multiphysics, industrial applications, acoustics, electrics, explosives, thermodynamics",Multi-Science Publishing,United Kingdom,QC1-999,Science: Physics
International Journal of Musculoskeletal Pain Prevention,http://ijmpp.modares.ac.ir/,"rehabilitation, musculoskeletal pain prevention, preventive interventional programs, health sciences",University of Tarbiat Modares,"Iran, Islamic Republic of",RC925-935|Q,Medicine: Internal medicine: Specialties of internal medicine: Diseases of the musculoskeletal system | Science
International Journal of Mycobacteriology,http://www.ijmyco.org,"epidemiology of mycobacterium, molecular biology of mycobacterium, clinical features of mycobacterium, tb drug resistance, infection control, preventional strategies",Wolters Kluwer Medknow Publications,India,QR1-502,Science: Microbiology
